Chapter,Media Link,Media Credit,Media Credit Link,Description,Zoom,Location,Latitude,Longitude,Found,Quality,Source,Overlay,Overlay Transparency,
"October 28, 1855 
Battle along the Green River",,,,"""Muckleshoot warriors addressed personal wrongs with the new settlers who had pushed them out of their main village, helped themselves to their food, ripped up their crops and abused the Indian people. 100% of our Muckleshoot land had been taken from them under the treaty and none had been reserved at this point in time yet. The Muckleshoot warriors had no choice but to fight.
<br><br>
An aggressive squatter named William Brannan, who was said to have an aggressive temperament making him a poor excuse for a neighbor, had the audacity to stake his “claim” adjacent and downriver from our main town of Ilalqo. That put him in a position to be able cork off our salmon run. Chief Nelson personally warned him to leave the day before, but he was too arrogant or too stupid to heed the warning.""
",14,,47.3305,-122.2126,,,,,,
"October 31st, 1855 
Finnell's Swamp",,,,"""Three days after the Muckleshoots dispatched the unwelcome neighbors at what is now Auburn, puyuyux̌ and his brothers killed two militia men in a place that became known as Finnell’s swamp. Not far from here is the place that Thunder became the protector of the Puyallup people in war.
<br><br>
By itself, the death of these militia men was not a remarkable event, as we were now in full war. But Stevens later used the death of Moses as a tool for his personal vendetta against our good chiefs. Chief Leschi and Quiemuth were later indicted for killing this man who had taken up arms against  the Indians. Quiemuth was then murdered while in custody. Chief Leschi was lynched after his second “trial” that was based on perjured testimony. 
Leschi and Quiemuth did not kill either man. They never betrayed those who did. No one was ever tried for the murders of our warriors or the murders of our women, children and old ones.""
",10,,47.17776,-122.15422,,,,,,
"November 3rd, 1855 
White River Crossing",,,,"""Nisqually, Puyallup and Muckleshoot warriors fought the battle at White River. Frightened soldiers boasted of killing lots of our people. Ezra Meeker's recollection of the story as told by Cowlitz/Nisqually/Puyallup warrior Tyee Dick. ""...they lost but one man...the battle was 'hi-ue he-he, hi-ue he-he' (lots and lots of fun.) The Indians...began to push up hats and sticks...and bang, bang, bang would go the guns of the enemy, down would go the hat and another Indian reported killed. This...brought yells of delight from the Indians all along the line. Tyee Dick's, has many descendants at Puyallup and elsewhere.""",10,,47.2628,-122.1556,,,,,,
"November 24th, 1855  
Bittings Prairie",,,,"""The fog was called in, a power that we know was carried by Wahelut. Soldiers camped near sqʷəspł village were relieved of 40 horses - compensation for the horses stolen last month from Leschi's herd.  At least one non-native historian say that Kitsap, Kanasket, Nelson, and Quiemuth made life miserable for Slaughter and his people on ""Bittings Prairie"" for a couple of days. Bitting was one of the early trespassers into the Puyallup Tribe's country. The village there was home to Kitsap's younger brother quoyəpqəd (Tommy Lane, who has many descendants at Puyallup.
<br><br>
The account by H.H. Bancroft: ""Upon the march, which began on the 24th of November, Slaughter was attacked at night at Biddings prairie, one mile from the Puyallup, and sustained a loss of forty horses during a heavy fog which concealed the movements of the Indians. On the morning of the 26th E. G. Price of Wallace's company, while attending to camp duty, was shot and killed by a lurking foe. The chiefs who commanded in the attack on the night of the 25th were Kitsap and Kanascut of the Klikitats, Quiemuth and Klowowit of the Nisquallies, and Nelson of the Green River and Niscope Indians. During two nights that the troops were encamped on this prairie the Indians continually harassed them by their yells, and by crawling up out of the woods which surrounded the little plain, and under cover of the fog coming close enough to fire into camp in spite of the sentries, who discharged their pieces into the surrounding gloom without effect.""",10,,47.16871,-122.20796,,,,,,
"December 4, 1855, 
Brannan “Homestead” 
North of Ilalqo",https://www.youtube.com/embed/PHuL_tEU8x4,"Speaker, Gilbert KingGeorge",https://youtu.be/PHuL_tEU8x4,"""U.S. Soldiers camped just north of our main Muckleshoot village of ʔilalqʷu. We thought we had made it rather clear on October 28, that trespassers were not welcome, but the soldiers returned to the same site, with the same result. A traitor was traveling with the soldiers as “a guide”. That evening, Lt. Slaughter foolishly allowed himself to be illuminated by their cooking fire. The traitor/guide warned Slaughter that we were present and then he had the good sense to duck. Lt. Slaughter refused to believe him and our sharpshooters,  Sasticum and Paul Weyallup took out Slaughter. 
<br><br>
Our sharpshooters were powerful and honorable men. They were later allotted choice land on the Puyallup reservation, lived long lives and left successful families. We will honor them and all of our warriors to express our gratitude for their bravery that resulted in the return of our land.""
",10,,47.32998,-122.21238,,,,,,
"January 5th, 1856 
Fox Island",,,,"""During the first treaty war, many of the Indian people were held in concentration camps. One camp was at Fox Island, across what is now the Narrows Bridge near Tacoma. The Duwamish were held a concentration camp at Port Blakely on Bainbridge Island. 
<br><br>
Chief Leschi visited the concentration camp on Fox Island. Cecelia Carpenter described it a peace mission but Leschi’s mere presence set off the opposite effect. Mrs. Carpenter wrote, “When the message arrived at Steilacoom [sent by Agent John Swan] that Leschi had landed on the island [it] sent the citizenry and the army into a panic unlike any other event of the war.” The whites were terrified of the consequences, that were sure to result, from their own bad behavior. 
<br><br>
The Muckleshoots, Upper Puyallups, Nisquallies and our allies stood our ground and refused to go to the camps. To paraphrase my relative Gerald Moses Jr., we did what we do best; we fought for what’s ours.""",10,,47.26,-122.6124,,,,,,
"Mid January 1856  
Aid from the Easter Indian Warriors",,,,"""A worn and weary Indian arrived at Ow-hi’s village, having crossed the Cascades on snowshoes. He bore a message from Chief Leschi asking that a band of warriors be sent him to aid in his contemplated attack upon Seattle. Leschi was closely related to the Yakimas, his mother having been a daughter of Chief We-ow-wicht. He and Qualchan, therefore, were cousins. (A.J. Splawn from his book, Ka-mi-akin, The Last Hero of the Yakimas.)
<br><br>
At the council which Ow-hi called, Qualchan offered to lead some braves over the mountains. About one hundred men were ready to go and they were soon on their way. When they got as far as Ka-sit-kees (Easton), their horses had to be sent back on account of the deep snow. The warriors, proceeding on snowshoes, reached Leschi’s camp the fourth day out. Here they found about 300 warriors under the leadership of Leschi and Coquilton near Lake Washington, awaiting the arrival of their Yakima relatives before making the attack.
<br><br>
We learned that day that our weapons were no match for cannon and howitzer fire. During the day-long skirmish we killed two, terrified everyone, and succeeded in making our point.""",10,,47.24031,-121.18331,,,,,,
"January 26th, 1856  
Battle of Seattle",,,,"""Allied forces attack Seattle. Little loss of life, a great deal of terror on the part of the 'settlers'.""",10,,47.60008,-122.329115,,,,https://mapwarper.net/maps/tile/40519/{z}/{x}/{y}.png,,
"February 7th, 1856
Griffin Prairie
",,,,"""Pat Kanim, lower Snoqualime, turned on his own people, bowed down to the soldiers, and turned over two good men, Hoptowit and Skwai-kwi, who were hung on the prairie just south of Toltxʷ, now known as 'Carnation'.""
 ",10,,47.62155,-121.91584,,,,,,
"February 15th, 1856 
Betrayal along the Green River Valley",,,,"""The whites had no luck penetrating the Valley of the Warriors, our Green River stronghold, so they hired Pat Kanim and his people to fight their fight for them. On February 15, 1856, Pat Kanim’s bunch killed Diakud and his little daughter, beheaded them and sold their heads to the whites.""
",10,,47.29285,-122.16316,,,,,,
"February 29th, 1856  
Elhi Hill Death of Kanasket",,,,"""Keyes men with the help of (unwilling) “scout” Burnt Charlie, kill Chief Kanasket as he is descending Elhi hill. He is mutilated or as family said, crucified. An apt description as Kanasket died so his people would live.
<br><br>
Kanasket's power told him that he was going to die that day. He was not afraid of death but the soldiers were terrified of him. Afterward, they wrote gruesome descriptions of the strength of his body and of his hatred for the whites, who had caused the Indian People so much needless suffering. ""
",10,,47.17413,-122.19564,,,,,,
"March 1, 1856, 
March up the Stuck River Valley, 
at White River Crossing",,,,"""The Nisqually warrior Yetakh, shot A.V. Kautz in the leg on March 1, 1856. Yetakh was the great-grandfather of the Kautz boys. Yetakh and A.V. Kautz were on good terms with each other and there were no hard feelings over the shooting. A.V. Kautz later did his best to prove that Leschi was innocent of the crime for which he was eventually hung.
<br><br>
Our People must never again forget to honor our relatives from east of the mountains for the sacrifice they made in our time of need and while they were still engaged in their own war. It was the second time that Qualchan and warriors answered our call.
'[W]hen about the first of March, 1856, an Indian runner from Puget Sound came to Ow-hi's village on the Wenas with word from Leschi that the soldiers were pressing his people so hard that they had time neither to rest nor sleep, Qual-chan and E-ne-as set out at once with fifty braves via the Nah-cheez pass. …they found Leschi, Stehi and  Qui-em-uth with about 300 warriors, skirmishing with Col. Casey's command.' A.J. Splawn
<br><br>
This brief battle was said to be our last engagement with the U.S. regulars, on this side of the mountains. 
<br><br>
We would yet have to contend with the militia: Steven’s private army.""
",10,,47.27986,-122.19783,,,,,,
"March 1, 1856, 
Boise Creek Vicinity. Paul Weyallup and Mowitch Man",,,,"""The Boise Creek and South Prairie Creek villages were located at an Indian crossroads where the Muckleshoot trail, Puyallup trail and Nisqually trail converged into the Naches Trail. It was a place that became too dangerous to live as a result of the war. This community included Kanasket and his brother Wakatai as well as my grandmother Mary tsubulshed, from whom all the James Daniels family descend, her brother Mowitch Man, her sister ts-le̓-le-wat who was George Nelson’s wife, her cousins Deehop from whom the Cross family descends, and tsi da bał who was Phillip Starr’s mother.""
",10,,47.17547,-122.01802,,,,,,
Boise Creek near White River hatchery.,https://www.youtube.com/embed/wT7DzLw4pD4,Charlie Ashue ,https://youtu.be/wT7DzLw4pD4,Charlie Ashue told a story of his father’s valor during a skirmish at  Boise Creek near White River Hatchery.,10,,47.21,-122.01802,,,,,,
"March 10th, 1856 
Naches Pass ""Trail of Tears""",media/Naches Pass Trail cry.png,"Asahel Curtis, Washington State Historical Society, 1943.42.38286",http://www.washingtonhistory.org/collections/item.aspx?irn=120795&record=10,"""The fighting returned for the last time to Connell’s Prairie. A.J. Splawn gathered the stories of the old people, telling of the clash with the militia and of our own Trail of Tears across the ice-encrusted snow of Naches Pass.
<br><br>
The two forces were about equal, the fight, which raged all day, resulting in a drawn battle. The Indians had seven killed and about twenty wounded.  At a council held that night, Qual-chan expressed the opinion that further fighting would be useless. ""Today's fight has convinced me, ""he said, ""that you cannot cope with the whites. I noticed reinforcements constantly arriving in the camp of the enemy, and these will continue, whereas you have the greater portion of your fighting men now on the ground. I advise you to move all your people at once to the Yakima valley. 
It was decided to act upon this advice and the retreat began at once. These people had made their brave fight; their last stand for their homes against a fate too strong for them. Worn and weary they took their way, with what little food they had hastily gathered the morning after the battle, over the snow and across the icy streams. In that dreadful retreat over the winter mountains, many old men and women and little children perished by the wayside and were buried in the snow. The wails of the women and the crying of the children touched even the stout heart of Qual-chan. 
<br><br>
It was Owhi who opened his arms to extend his hospitality and resources to revive our people when they arrived at his Wenas village.""

",10,,47.0513,-121.2246,,,,,,
"Visit East   
Owhi's Home on the Wenas",,,,"""The Indian familes from the west were fed and cared for by their Weowicht relatives of the Kamiakin and Owhi families. The Indian warriors entered into a peace treaty with Col. George Wright.""",10,,46.75365,-120.61082,,,,,,
"March 30, 1856, 
Marshel River Massacre",https://www.youtube.com/embed/SVnVRE_Jk44,,https://youtu.be/SVnVRE_Jk44,"""This film is dedicated to our warriors and their wives and families who answered the call to fight for the return of our land and who succeeded in securing its return.""",10,,46.84313,-122.33289,,,,,,
"August 5, 1856   
Fox Island
 ",,,,"""It is one of the only times in the history of the United States that Indians went to war to get their land back and did get their land back. The Indian people have sustained ourselves with a sharp sense of humor. I don’t think Governor Stevens knew he was writing such comic material when he announced, in words that have become very familiar to Indian people in dealing with white leaders:",10,,47.25103,-122.61182,,,,,,
"Indians Won the War,
",,,,"You shall have a large reservation at Nisqually, one large reservation on the Puyaloop. Those reservations shall give you ground enough for horses and to the Horse Indians, Muckleshook I will give land between White and Green Rivers and I will send a man with you to mark out the ground so that you may be satisfied.'
<br><br>
Our warriors’ efforts returned 25,000 acres of our land to the Indian People:""",11,,47.2364,-122.4095,,,,https://mapwarper.net/maps/tile/40577/{z}/{x}/{y}.png,,
"Puyallup reservation - 17,000 acres",,,,,11,,47.2364,-122.4095,,,,https://mapwarper.net/maps/tile/40577/{z}/{x}/{y}.png,,
"Nisqually reservation - almost 4,000 acres",,,,,11,,46.99772,-122.62836,,,,https://mapwarper.net/maps/tile/40577/{z}/{x}/{y}.png,,
"Muckleshoots - nearly 4,000 acres of our land after zero had been reserved for us",,,,,11,,47.246955,-122.120826,,,,https://mapwarper.net/maps/tile/40577/{z}/{x}/{y}.png,,
"Warriors who sacrificed their lives
",,,,"Quiemuth - Murdered - November 19, 1856 - Gov. Stevens’ office",,,47.0379,-122.9007,,,,,,
,,,,"Leschi    -   Lynched  -  February 19, 1858  -   Steilacoom Prairie",,,47.1718,-122.5185,,,,,,
,,,,"Qualchan - Lynched  -  September 24, 1858  - Latah Creek",,,47.643439,-117.446104,,,,,,
,,,,"Owhi -  Murdered  -  October 3, 1858 -  at Tucannon River",,,46.477091,-117.935968,,,,,,
